,rating
2024-04-03,750.0
2024-04-04,750.0
2024-04-05,750.0
2024-04-06,750.0
2024-04-07,750.0
2024-04-08,750.0
2024-04-09,750.0
2024-04-10,750.0
2024-04-11,750.0
2024-04-12,750.0
2024-04-13,750.0
2024-04-14,750.0
2024-04-15,750.0
2024-04-16,750.0
2024-04-17,750.0
2024-04-18,750.0
2024-04-19,750.0
2024-04-20,750.0
2024-04-21,750.0
2024-04-22,750.0
2024-04-23,750.0
2024-04-24,743.0
2024-04-25,743.0
2024-04-26,752.0
2024-04-27,786.0
2024-04-28,786.0
2024-04-29,785.0
2024-04-30,785.0
2024-05-01,794.0
2024-05-02,785.0
2024-05-03,797.0
2024-05-04,797.0
2024-05-05,828.0
2024-05-06,828.0
2024-05-07,822.0
2024-05-08,822.0
2024-05-09,822.0
2024-05-10,822.0
2024-05-11,822.0
2024-05-12,822.0
2024-05-13,830.0
2024-05-14,846.0
2024-05-15,837.0
2024-05-16,843.0
2024-05-17,832.0
2024-05-18,832.0
2024-05-19,824.0
2024-05-20,824.0
2024-05-21,832.0
2024-05-22,832.0
2024-05-23,824.0
2024-05-24,799.0
2024-05-25,799.0
2024-05-26,799.0
2024-05-27,815.0
2024-05-28,839.0
2024-05-29,839.0
2024-05-30,839.0
2024-05-31,839.0
2024-06-01,839.0
2024-06-02,855.0
2024-06-03,861.0
2024-06-04,902.0
2024-06-05,902.0
2024-06-06,902.0
2024-06-07,911.0
2024-06-08,903.0
2024-06-09,903.0
2024-06-10,903.0
2024-06-11,923.0
2024-06-12,933.0
2024-06-13,947.0
2024-06-14,966.0
2024-06-15,966.0
2024-06-16,967.0
2024-06-17,975.0
2024-06-18,982.0
2024-06-19,982.0
2024-06-20,980.0
2024-06-21,959.0
2024-06-22,959.0
2024-06-23,959.0
2024-06-24,959.0
2024-06-25,959.0
2024-06-26,959.0
2024-06-27,966.0
2024-06-28,966.0
2024-06-29,969.0
2024-06-30,959.0
2024-07-01,959.0
2024-07-02,968.0
2024-07-03,975.0
2024-07-04,975.0
2024-07-05,975.0
2024-07-06,975.0
2024-07-07,975.0
2024-07-08,975.0
2024-07-09,983.0
2024-07-10,984.0
2024-07-11,984.0
2024-07-12,984.0
2024-07-13,984.0
2024-07-14,984.0
2024-07-15,977.0
2024-07-16,960.0
2024-07-17,952.0
2024-07-18,952.0
2024-07-19,951.0
2024-07-20,951.0
2024-07-21,951.0
2024-07-22,951.0
2024-07-23,951.0
2024-07-24,959.0
2024-07-25,952.0
2024-07-26,952.0
2024-07-27,944.0
2024-07-28,960.0
2024-07-29,952.0
2024-07-30,952.0
2024-07-31,952.0
2024-08-01,952.0
2024-08-02,952.0
2024-08-03,952.0
2024-08-04,952.0
2024-08-05,952.0
2024-08-06,952.0
2024-08-07,952.0
2024-08-08,953.0
2024-08-09,945.0
2024-08-10,945.0
2024-08-11,937.0
2024-08-12,937.0
2024-08-13,937.0
2024-08-14,946.0
2024-08-15,946.0
2024-08-16,946.0
2024-08-17,946.0
2024-08-18,957.0
2024-08-19,967.0
2024-08-20,967.0
2024-08-21,967.0
2024-08-22,967.0
2024-08-23,959.0
2024-08-24,976.0
2024-08-25,976.0
2024-08-26,968.0
2024-08-27,968.0
2024-08-28,968.0
2024-08-29,975.0
2024-08-30,975.0
2024-08-31,975.0
2024-09-01,998.0
2024-09-02,998.0
2024-09-03,999.0
2024-09-04,1007.0
2024-09-05,1007.0
2024-09-06,1047.0
2024-09-07,1047.0
2024-09-08,1055.0
2024-09-09,1063.0
2024-09-10,1063.0
2024-09-11,1063.0
2024-09-12,1063.0
2024-09-13,1063.0
2024-09-14,1063.0
2024-09-15,1063.0
2024-09-16,1047.0
2024-09-17,1047.0
2024-09-18,1049.0
2024-09-19,1041.0
2024-09-20,1034.0
2024-09-21,1034.0
2024-09-22,1034.0
2024-09-23,1026.0
2024-09-24,1026.0
2024-09-25,1026.0
2024-09-26,1025.0
2024-09-27,1040.0
2024-09-28,1048.0
2024-09-29,1048.0
2024-09-30,1048.0
2024-10-01,1040.0
2024-10-02,1040.0
2024-10-03,1040.0
2024-10-04,1040.0
2024-10-05,1040.0
